source,applied,Category,status
LinkedIn,custom,Rust,rejected
LinkedIn,custom,Embedded,rejected
LinkedIn,custom,Rust,rejected
LinkedIn,Infenion,Embedded,rejected
LinkedIn,EasyApply,Blockchain,rejected
LinkedIn,custom,Rust,interview
LinkedIn,custom,SWE,interview
LinkedIn,custom,SWE,sent
LinkedIn,custom,Rust,sent
LinkedIn,custom,Rust,sent
LinkedIn,custom,Robotics,sent
LinkedIn,custom,Rust,sent
LinkedIn,Infenion,DevOps,sent
LinkedIn,custom,Robotics,sent
LinkedIn,EasyApply,SWE,sent
LinkedIn,custom,Robotics,sent
LinkedIn,custom,Embedded,sent
LinkedIn,custom,SWE,sent
LinkedIn,EasyApply,SWE,sent
LinkedIn,custom,Embedded,sent
LinkedIn,EasyApply,Rust,sent
LinkedIn,EasyApply,Rust,sent
LinkedIn,EasyApply,Rust,sent
LinkedIn,EasyApply,SWE,sent
LinkedIn,EasyApply,SWE,sent
LinkedIn,EasyApply,SWE,sent
LinkedIn,EasyApply,SWE,sent
LinkedIn,EasyApply,Rust,sent
LinkedIn,EasyApply,SWE,sent
LinkedIn,EasyApply,Embedded,sent
LinkedIn,EasyApply,admin,sent
LinkedIn,EasyApply,SWE,sent
LinkedIn,EasyApply,Blockchain,sent
LinkedIn,EasyApply,quantum,sent
LinkedIn,EasyApply,SWE,sent
LinkedIn,EasyApply,CV,sent
LinkedIn,EasyApply,AI,sent
LinkedIn,EasyApply,Embedded,sent
LinkedIn,EasyApply,SWE,sent